t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789098411,0,sana,99.975,57.876,64.965,142.857,0.0,95.222,0.0,0.0,0.0,3.999,0.0,0.0,4.555,0.1
1789098412,1,sana,100.0,57.848,64.911,138.725,0.0,95.778,0.0,0.0,0.0,3.5,0.0,0.0,4.555,0.1
1789098413,2,sana,100.0,57.803,64.827,138.571,0.0,96.111,0.0,0.0,0.0,2.75,0.0,0.0,4.486,0.098
1789098414,3,sana,99.725,57.822,64.862,136.938,0.0,95.778,0.0,0.0,0.0,2.999,0.0,0.0,4.55,0.097
1789098415,4,sana,100.025,57.803,64.827,130.909,0.0,96.111,0.0,0.0,0.0,3.001,0.0,0.0,4.6,0.098
1789098416,5,sana,100.0,57.776,64.775,122.222,0.0,96.444,0.0,0.0,0.0,3.5,0.0,0.0,4.6,0.098
1789098417,6,sana,99.75,57.786,64.793,120.025,0.0,96.333,0.0,0.0,0.0,5.0,0.0,0.0,4.28,0.1
1789098418,7,sana,100.25,57.803,64.827,124.444,0.0,96.111,0.0,0.0,0.0,4.0,0.0,0.0,4.28,0.095
1789098419,8,sana,99.75,57.777,64.776,124.467,0.0,96.333,0.0,1.0,1.0,4.5,0.0,0.0,4.486,0.1
1789098420,9,sana,100.0,57.785,64.792,124.0,0.0,96.222,0.0,0.0,0.0,4.5,0.0,0.0,4.486,0.1
1789098421,10,sana,100.25,57.831,64.878,128.333,0.0,95.667,0.0,0.0,0.0,4.75,0.0,0.0,4.55,0.1
1789098422,11,sana,100.025,57.886,64.982,132.308,0.0,95.111,0.0,0.0,0.0,5.001,0.0,0.0,4.55,0.103
1789098423,12,sana,100.225,57.839,64.895,133.831,0.0,95.667,0.0,1.0,1.0,4.499,0.0,0.0,4.55,0.097
1789098424,13,sana,100.0,57.84,64.895,136.923,0.0,95.667,0.0,0.0,0.0,4.25,0.0,0.0,4.55,0.098
1789098425,14,sana,100.0,57.831,64.878,138.462,0.0,95.778,0.0,0.0,0.0,3.25,0.0,0.0,4.6,0.095
1789098426,15,sana,99.725,57.831,64.878,140.0,0.0,95.778,0.0,0.0,0.0,3.499,0.0,0.0,4.64,0.092
1789098427,16,sana,100.0,57.849,64.913,138.571,0.0,95.556,0.0,0.0,0.0,4.5,0.0,0.0,4.64,0.097
1789098428,17,sana,99.975,57.876,64.964,142.829,0.0,95.333,0.0,0.0,0.0,5.499,0.0,0.0,4.55,0.097
1789098429,18,sana,100.0,57.913,86.667,146.667,0.0,95.0,0.0,0.0,0.0,6.25,0.0,0.0,4.6,0.1
1789098430,19,sana,100.025,57.895,65.75,147.525,0.0,95.111,0.0,0.0,0.0,6.252,0.0,0.0,4.64,0.103
1789098431,20,sana,100.025,57.904,80.0,147.5,0.0,95.0,0.0,0.0,0.0,6.252,0.0,0.0,4.64,0.1
1789098432,21,sana,100.025,57.904,80.0,145.714,0.0,95.111,0.0,0.0,0.0,5.001,0.0,0.0,4.7,0.098
1789098433,22,sana,100.0,57.904,80.0,145.0,0.0,95.0,0.0,0.0,0.0,4.25,0.0,0.0,4.7,0.097
1789098434,23,sana,100.25,57.923,93.333,146.0,0.0,94.778,0.0,0.0,0.0,4.0,0.0,0.0,4.64,0.097
1789098435,24,sana,99.975,57.941,101.95,151.98,0.0,94.667,0.0,0.0,0.0,4.249,0.0,0.0,4.6,0.097
1789098436,25,sana,100.025,57.886,64.982,152.0,0.0,95.222,0.0,0.0,0.0,4.001,0.0,0.0,4.6,0.095
1789098437,26,sana,100.05,57.867,64.948,151.111,0.0,95.444,0.0,0.0,0.0,4.502,0.0,0.0,4.6,0.098
1789098438,27,sana,100.025,57.831,64.878,151.429,0.0,95.778,0.0,0.0,0.0,4.001,0.0,0.0,4.6,0.095
1789098439,28,sana,100.05,57.83,64.877,152.475,0.0,95.889,0.0,0.0,0.0,3.502,0.0,0.0,4.486,0.095
1789098440,29,sana,100.0,57.812,64.844,154.286,0.111,96.0,0.0,0.0,0.0,4.5,0.0,0.0,4.6,0.105
1789098441,30,sana,100.0,57.812,64.844,154.286,0.111,95.889,0.0,1.0,1.0,3.75,0.0,0.0,4.4,0.1
1789098442,31,sana,100.0,57.822,64.861,154.286,0.111,95.889,0.0,0.0,0.0,4.0,0.0,0.0,4.4,0.1
1789098443,32,sana,100.0,57.822,64.861,153.333,0.111,95.778,0.0,1.0,1.0,4.0,0.0,0.0,4.407,0.1
1789098444,33,sana,100.0,57.776,64.775,140.0,0.111,96.333,0.0,1.0,1.0,3.25,0.0,0.0,4.491,0.095
1789098445,34,sana,99.975,57.822,64.861,145.714,0.111,95.889,0.0,0.0,0.0,4.249,0.0,0.0,4.604,0.095
1789098446,35,sana,100.0,57.831,64.878,146.667,0.111,95.778,0.0,0.0,0.0,4.75,0.0,0.0,4.644,0.1
1789098447,36,sana,100.025,57.831,64.878,143.333,0.111,95.778,0.0,0.0,0.0,4.251,0.0,0.0,4.604,0.098
1789098448,37,sana,100.0,57.822,64.861,140.0,0.111,95.889,0.0,0.0,0.0,4.75,0.0,0.0,4.644,0.095
1789098449,38,sana,99.525,57.822,64.862,138.218,0.111,95.667,0.0,1.0,1.0,4.751,0.0,0.0,4.644,0.1
1789098450,39,sana,100.0,57.858,64.93,148.0,0.222,95.556,0.0,0.0,0.0,4.5,0.0,0.0,4.703,0.098
1789098451,40,sana,100.0,57.867,64.948,144.0,0.222,95.333,0.0,0.0,0.0,5.0,0.0,0.0,4.703,0.1
1789098452,41,sana,100.0,57.876,64.965,148.0,0.222,95.333,0.0,0.0,0.0,5.5,0.0,0.0,4.723,0.103
1789098453,42,sana,100.25,57.895,80.25,156.7,0.222,95.0,0.0,0.0,0.0,5.25,0.0,0.0,4.7,0.1
1789098454,43,sana,100.025,57.886,64.982,155.0,0.222,95.0,0.0,1.0,1.0,5.001,0.0,0.0,4.673,0.1
1789098455,44,sana,99.975,57.867,64.948,156.0,0.333,95.333,0.0,0.0,0.0,4.749,0.0,0.0,4.64,0.1
1789098456,45,sana,100.025,57.858,64.93,156.0,0.333,95.333,0.0,1.0,1.0,3.751,0.0,0.0,4.64,0.095
1789098457,46,sana,100.25,57.876,64.965,160.0,0.444,95.222,0.0,0.0,0.0,4.0,0.0,0.0,4.64,0.097
1789098458,47,sana,99.975,57.848,64.911,155.92,0.333,95.778,0.0,0.0,0.0,3.499,0.0,0.0,4.64,0.095
1789098459,48,sana,100.025,57.831,64.878,144.0,0.222,95.778,0.0,0.0,0.0,3.501,0.0,0.0,4.55,0.095
1789098460,49,sana,99.975,57.794,64.809,144.0,0.222,96.222,0.0,0.0,0.0,3.249,0.0,0.0,4.4,0.097
1789098461,50,sana,99.975,57.768,64.758,140.0,0.222,96.444,0.0,1.0,1.0,2.499,0.0,0.0,4.28,0.095
1789098462,51,sana,100.0,57.758,64.741,139.987,0.333,96.778,0.0,0.0,0.0,2.75,0.0,0.0,4.486,0.097
1789098463,52,sana,100.0,57.741,64.708,145.714,0.444,96.889,0.0,0.0,0.0,2.75,0.0,0.0,4.4,0.098
1789098464,53,sana,100.0,57.768,64.758,140.0,0.333,96.556,0.0,0.0,0.0,4.0,0.0,0.0,4.486,0.1
1789098465,54,sana,100.0,57.785,64.792,140.0,0.333,96.444,0.0,0.0,0.0,4.25,0.0,0.0,4.55,0.098
1789098466,55,sana,100.05,57.75,64.724,140.0,0.222,96.778,0.0,0.0,0.0,4.002,0.0,0.0,4.55,0.098
1789098467,56,sana,100.025,57.759,64.741,140.0,0.222,96.667,0.0,0.0,0.0,3.751,0.0,0.0,4.55,0.095
1789098468,57,sana,100.05,57.741,64.708,140.0,0.222,96.889,0.0,0.0,0.0,2.751,0.0,0.0,4.55,0.093
1789098469,58,sana,100.05,57.768,64.758,140.0,0.222,96.556,0.0,0.0,0.0,2.751,0.0,0.0,4.55,0.098
1789098470,59,sana,99.75,57.768,64.759,144.04,0.222,96.556,0.0,0.0,0.0,3.25,0.0,0.0,4.55,0.095
1789098471,60,sana,100.0,57.794,64.809,137.143,0.111,96.222,0.0,0.0,0.0,3.75,0.0,0.0,4.486,0.098
1789098472,61,sana,100.0,57.822,64.861,137.5,0.0,96.0,0.0,0.0,0.0,4.75,0.0,0.0,4.486,0.1
1789098473,62,sana,100.0,57.803,64.827,140.0,0.0,96.111,0.0,0.0,0.0,5.0,0.0,0.0,4.486,0.1
1789098474,63,sana,100.25,57.785,64.792,140.0,0.0,96.333,0.0,0.0,0.0,4.5,0.0,0.0,4.4,0.097
1789098475,64,sana,99.75,57.804,64.827,140.033,0.0,96.0,0.0,0.0,0.0,4.5,0.0,0.0,4.4,0.098
1789098476,65,sana,99.975,57.803,64.827,137.778,0.0,96.0,0.0,1.0,1.0,3.499,0.0,0.0,4.288,0.095
1789098477,66,sana,99.475,57.831,64.88,144.489,0.0,95.556,0.0,0.0,0.0,3.999,0.0,0.0,4.288,0.095
1789098478,67,sana,100.0,57.822,64.861,142.222,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,4.407,0.095
1789098479,68,sana,100.225,57.812,64.843,139.98,0.0,96.111,0.0,0.0,0.0,2.999,0.0,0.0,4.407,0.095
1789098480,69,sana,100.0,57.785,64.792,140.0,0.0,96.333,0.0,0.0,0.0,3.25,0.0,0.0,4.288,0.098
1789098481,70,sana,100.275,57.795,64.81,136.382,0.0,96.111,0.0,0.0,0.0,3.501,0.0,0.0,4.11,0.095
1789098482,71,sana,100.0,57.785,64.792,136.364,0.0,96.111,0.0,2.0,2.0,4.0,0.0,0.0,4.288,0.1
1789098483,72,sana,100.025,57.84,64.895,143.333,0.111,95.667,0.0,0.0,0.0,5.501,0.0,0.0,4.407,0.103
1789098484,73,sana,99.75,57.858,64.93,144.0,0.111,95.444,0.0,0.0,0.0,6.5,0.0,0.0,4.288,0.1
1789098485,74,sana,100.25,57.886,64.982,146.667,0.111,95.111,0.0,1.0,1.0,5.75,0.0,0.0,4.28,0.102
1789098486,75,sana,99.975,57.885,64.981,144.9,0.111,95.333,0.0,0.0,0.0,6.248,0.0,0.0,4.486,0.1
1789098487,76,sana,99.725,57.877,64.966,145.05,0.111,94.889,0.0,2.0,2.0,4.999,0.0,0.0,4.4,0.097
1789098488,77,sana,100.25,57.913,85.714,140.0,0.111,94.667,0.0,1.0,1.0,4.5,0.0,0.0,4.486,0.1
1789098489,78,sana,100.0,57.951,97.143,148.0,0.111,94.333,0.0,0.0,0.0,5.0,0.0,0.0,4.6,0.098
1789098490,79,sana,100.025,57.913,89.75,147.96,0.111,94.889,0.0,0.0,0.0,4.501,0.0,0.0,4.6,0.1
1789098491,80,sana,100.275,57.913,85.0,148.571,0.111,95.0,0.0,1.0,1.0,4.501,0.0,0.0,4.64,0.1
1789098492,81,sana,100.0,57.886,64.982,143.333,0.0,95.222,0.0,0.0,0.0,4.5,0.0,0.0,4.64,0.098
1789098493,82,sana,100.0,57.867,64.947,139.987,0.0,95.556,0.0,0.0,0.0,3.75,0.0,0.0,4.64,0.098
1789098494,83,sana,100.0,57.822,64.861,138.667,0.0,96.111,0.0,0.0,0.0,3.25,0.0,0.0,4.7,0.097
1789098495,84,sana,99.75,57.831,64.879,137.789,0.0,95.667,0.0,1.0,1.0,4.25,0.0,0.0,4.673,0.1
1789098496,85,sana,99.8,57.84,64.895,140.0,0.0,95.889,0.0,1.0,1.0,3.752,0.0,0.0,4.7,0.103
1789098497,86,sana,100.025,57.84,64.895,148.0,0.111,95.889,0.0,0.0,0.0,4.001,0.0,0.0,4.673,0.1
1789098498,87,sana,100.025,57.803,64.827,138.824,0.111,96.222,0.0,0.0,0.0,4.501,0.0,0.0,4.6,0.1
1789098499,88,sana,100.3,57.803,64.827,138.75,0.111,96.222,0.0,0.0,0.0,3.502,0.0,0.0,4.64,0.095
1789098500,89,sana,100.275,57.822,64.861,138.824,0.111,96.0,0.0,0.0,0.0,4.251,0.0,0.0,4.55,0.098
1789098501,90,sana,100.0,57.803,64.827,137.333,0.111,96.111,0.0,0.0,0.0,3.75,0.0,0.0,4.486,0.097
1789098502,91,sana,100.0,57.812,64.844,140.0,0.111,96.0,0.0,0.0,0.0,4.25,0.0,0.0,4.55,0.1
1789098503,92,sana,99.975,57.831,64.878,145.0,0.111,95.667,0.0,1.0,1.0,4.249,0.0,0.0,4.486,0.1
1789098504,93,sana,99.975,57.83,64.877,143.96,0.111,96.0,0.0,0.0,0.0,4.249,0.0,0.0,4.4,0.097
1789098505,94,sana,100.0,57.83,64.877,143.3,0.111,95.889,0.0,1.0,1.0,4.25,0.0,0.0,4.4,0.098
1789098506,95,sana,100.025,57.822,64.861,146.667,0.0,95.889,0.0,0.0,0.0,4.251,0.0,0.0,4.486,0.095
