t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789095016,0,sana,99.525,124.148,175.688,207.914,0.0,,0.0,6.0,0.0,99.775,0.0,0.0,4.407,0.235
1789095017,1,sana,99.55,124.191,174.362,205.0,0.0,,0.0,5.0,0.0,100.05,0.0,0.0,4.491,0.238
1789095018,2,sana,100.05,124.485,175.0,205.0,0.0,,0.0,6.0,0.0,100.3,0.0,0.0,4.555,0.235
1789095019,3,sana,100.3,124.549,175.611,210.771,0.0,,0.0,5.0,0.0,100.55,0.0,0.0,4.491,0.233
1789095020,4,sana,100.0,125.0,175.577,210.714,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.555,0.23
1789095021,5,sana,99.725,124.982,175.094,213.657,0.0,,0.0,7.0,0.0,99.475,0.0,0.0,4.555,0.225
1789095022,6,sana,99.775,125.109,176.24,215.1,0.0,,0.0,8.0,0.0,99.525,0.0,0.0,4.644,0.228
1789095023,7,sana,100.25,125.426,176.702,211.633,0.0,,0.0,8.0,0.0,99.25,0.0,0.0,4.644,0.228
1789095024,8,sana,100.0,126.047,174.984,213.543,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,4.673,0.228
1789095025,9,sana,100.525,125.537,174.65,212.96,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.673,0.23
1789095026,10,sana,100.725,125.636,174.967,208.92,0.0,,0.0,7.0,0.0,100.225,0.0,0.0,4.7,0.23
1789095027,11,sana,99.75,125.392,175.652,211.667,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.64,0.232
1789095028,12,sana,100.75,125.509,177.694,208.233,0.0,,0.0,8.0,0.0,100.0,0.0,0.0,4.64,0.232
1789095029,13,sana,99.475,125.496,175.63,205.04,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.64,0.232
1789095030,14,sana,99.525,125.54,178.078,208.3,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.673,0.235
1789095031,15,sana,100.5,125.544,180.425,212.425,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.64,0.232
1789095032,16,sana,99.25,125.574,178.129,210.743,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.64,0.232
1789095033,17,sana,100.5,124.932,176.045,203.623,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.6,0.23
1789095034,18,sana,99.725,124.88,176.55,202.3,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.6,0.227
1789095035,19,sana,99.775,125.344,176.96,203.515,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.55,0.225
1789095036,20,sana,100.275,125.469,177.043,203.738,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.6,0.225
1789095037,21,sana,99.5,124.953,175.115,203.691,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.6,0.228
1789095038,22,sana,100.525,124.688,176.611,203.823,0.0,,0.0,5.0,0.0,100.275,0.0,0.0,4.55,0.228
1789095039,23,sana,99.975,124.831,173.936,201.238,0.0,,0.0,5.0,0.0,100.225,0.0,0.0,4.4,0.23
1789095040,24,sana,100.225,124.409,171.739,199.0,0.0,,0.0,5.0,0.0,100.725,0.0,0.0,4.28,0.23
1789095041,25,sana,100.5,123.876,172.484,202.259,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.1,0.23
1789095042,26,sana,100.225,123.3,173.587,203.835,0.0,,0.0,5.0,0.0,99.975,0.0,0.0,4.4,0.23
1789095043,27,sana,100.0,122.635,171.305,203.725,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,4.4,0.227
1789095044,28,sana,99.5,121.809,171.072,203.65,0.0,,0.0,8.0,0.0,99.25,0.0,0.0,4.28,0.23
1789095045,29,sana,99.525,121.739,172.033,208.4,0.0,,0.0,5.0,0.0,100.275,0.0,0.0,4.1,0.238
1789095046,30,sana,99.825,121.667,171.777,210.657,0.0,,0.0,7.0,0.0,99.825,0.0,0.0,4.28,0.245
1789095047,31,sana,100.1,121.679,171.765,210.714,0.0,,0.0,8.0,0.0,99.85,0.0,0.0,4.486,0.245
1789095048,32,sana,100.601,121.439,172.285,210.686,0.0,,0.0,6.0,0.0,100.601,0.0,0.0,4.486,0.248
1789095049,33,sana,100.3,121.929,172.888,210.771,0.0,,0.0,7.0,0.0,99.55,0.0,0.0,4.4,0.238
1789095050,34,sana,100.025,121.891,172.245,208.333,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.4,0.228
1789095051,35,sana,100.0,122.115,171.779,207.886,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.1,0.228
1789095052,36,sana,99.725,123.643,173.636,213.571,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.28,0.222
1789095053,37,sana,100.75,123.895,174.655,216.343,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.28,0.225
1789095054,38,sana,100.225,123.477,174.016,213.486,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.28,0.227
1789095055,39,sana,99.975,124.044,174.706,209.0,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.28,0.23
1789095056,40,sana,100.275,124.568,174.12,211.633,0.0,,0.0,8.0,0.0,99.525,0.0,0.0,3.8,0.23
1789095057,41,sana,99.5,124.635,174.731,213.6,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.11,0.235
1789095058,42,sana,100.275,124.44,174.342,213.486,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.288,0.233
1789095059,43,sana,99.5,124.436,175.068,210.771,0.0,,0.0,4.0,0.0,100.75,0.0,0.0,4.288,0.235
1789095060,44,sana,99.475,125.0,176.464,211.7,0.0,,0.0,8.0,0.0,100.225,0.0,0.0,4.407,0.232
1789095061,45,sana,99.75,124.082,174.703,207.886,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.288,0.228
1789095062,46,sana,99.975,123.971,173.529,205.0,0.0,,0.0,4.0,0.0,100.475,0.0,0.0,4.407,0.232
1789095063,47,sana,100.025,124.185,173.889,210.075,0.0,,0.0,7.0,0.0,99.275,0.0,0.0,4.555,0.23
1789095064,48,sana,100.525,123.875,173.785,209.975,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.491,0.23
1789095065,49,sana,100.025,123.383,174.074,207.914,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.491,0.233
1789095066,50,sana,99.25,122.842,172.576,205.033,0.0,,0.0,5.0,0.0,99.75,0.0,0.0,4.55,0.232
1789095067,51,sana,100.975,123.043,173.8,203.636,0.0,,0.0,7.0,0.0,100.225,0.0,0.0,4.55,0.235
1789095068,52,sana,99.975,123.08,174.141,207.771,0.0,,0.0,4.0,0.0,100.475,0.0,0.0,4.6,0.24
1789095069,53,sana,100.225,122.456,173.005,207.829,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.6,0.237
1789095070,54,sana,100.275,122.598,173.005,209.975,0.0,,0.0,5.0,0.0,100.025,0.0,0.0,4.55,0.235
1789095071,55,sana,99.775,122.537,173.347,211.689,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.486,0.23
1789095072,56,sana,99.5,122.688,173.005,204.985,0.0,,0.0,5.0,0.0,100.0,0.0,0.0,4.486,0.227
1789095073,57,sana,100.0,122.33,173.069,207.886,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.6,0.225
1789095074,58,sana,100.225,121.727,173.206,209.95,0.0,,0.0,7.0,0.0,99.475,0.0,0.0,4.6,0.225
1789095075,59,sana,100.0,122.482,172.83,209.95,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.486,0.228
1789095076,60,sana,100.025,121.963,172.159,210.8,0.0,,0.0,5.0,0.0,99.775,0.0,0.0,4.4,0.228
1789095077,61,sana,100.0,122.381,171.891,211.7,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.28,0.228
1789095078,62,sana,100.025,123.007,172.484,211.633,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.4,0.225
1789095079,63,sana,99.5,122.744,173.101,210.05,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.55,0.225
1789095080,64,sana,100.475,123.17,173.085,213.0,0.0,,0.0,6.0,0.0,99.725,0.0,0.0,4.55,0.23
1789095081,65,sana,99.25,122.622,172.476,210.1,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.4,0.23
1789095082,66,sana,99.475,123.769,173.453,215.033,0.0,,0.0,4.0,0.0,100.725,0.0,0.0,4.4,0.232
1789095083,67,sana,100.475,124.387,173.469,218.333,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.4,0.232
1789095084,68,sana,99.0,124.015,173.705,221.8,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.486,0.233
1789095085,69,sana,101.025,124.789,174.315,222.086,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.55,0.235
1789095086,70,sana,100.275,124.965,174.333,218.333,0.0,,0.0,7.0,0.0,99.275,0.0,0.0,4.6,0.238
1789095087,71,sana,99.775,124.301,174.017,219.314,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.6,0.238
1789095088,72,sana,100.525,123.63,173.438,218.333,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.55,0.235
1789095089,73,sana,99.725,123.791,173.42,213.6,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.673,0.235
1789095090,74,sana,99.725,123.957,173.719,217.45,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.7,0.23
1789095091,75,sana,99.475,123.025,172.327,211.7,0.0,,0.0,8.0,0.0,99.475,0.0,0.0,4.64,0.23
1789095092,76,sana,100.225,122.986,172.993,215.025,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.673,0.227
1789095093,77,sana,99.775,123.704,173.536,214.96,0.0,,0.0,5.0,0.0,100.275,0.0,0.0,4.703,0.225
1789095094,78,sana,100.5,123.636,173.421,216.111,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,4.673,0.227
1789095095,79,sana,100.25,123.419,173.096,217.02,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.644,0.225
1789095096,80,sana,100.0,124.057,174.231,217.308,0.0,,0.0,9.0,0.0,99.25,0.0,0.0,4.604,0.223
