t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789080502,0,sana,200.05,57.817,64.853,139.057,0.111,95.889,0.0,1.0,1.0,8.002,0.0,0.0,,0.168
1789080503,1,sana,200.2,57.808,64.834,138.867,0.111,96.222,0.0,0.0,0.0,8.498,0.0,0.0,,0.172
1789080504,2,sana,199.55,57.795,64.81,135.02,0.111,96.113,0.0,1.0,1.0,8.502,0.0,0.0,,0.18
1789080505,3,sana,199.95,57.803,64.826,135.219,0.111,96.167,0.0,1.0,1.0,8.248,0.0,0.0,,0.172
1789080506,4,sana,199.95,57.817,64.853,137.152,0.056,95.889,0.0,1.0,1.0,8.998,0.0,0.0,,0.167
1789080507,5,sana,199.8,57.831,64.878,137.5,0.0,95.778,0.0,0.0,0.0,9.252,0.0,0.0,,0.168
1789080508,6,sana,200.45,57.826,64.869,137.492,0.0,95.833,0.0,2.0,2.0,7.998,0.0,0.0,,0.16
1789080509,7,sana,200.05,57.822,64.861,139.048,0.111,95.833,0.0,1.0,1.0,8.002,0.0,0.0,,0.163
1789080510,8,sana,200.25,57.808,64.835,138.0,0.111,96.0,0.0,1.0,1.0,6.75,0.0,0.0,,0.16
1789080511,9,sana,200.0,57.808,64.835,141.818,0.222,96.056,0.0,1.0,1.0,6.5,0.0,0.0,,0.162
1789080512,10,sana,200.05,57.812,64.844,141.667,0.222,95.944,0.0,1.0,1.0,7.752,0.0,0.0,,0.163
1789080513,11,sana,200.0,57.817,64.852,144.257,0.222,96.109,0.0,0.0,0.0,7.75,0.0,0.0,,0.163
1789080514,12,sana,199.8,57.808,64.836,143.35,0.222,96.0,0.0,1.0,1.0,8.502,0.0,0.0,,0.17
1789080515,13,sana,200.2,57.799,64.818,141.98,0.222,96.111,0.0,2.0,2.0,8.498,0.0,0.0,,0.16
1789080516,14,sana,199.0,57.809,64.836,144.06,0.278,95.833,0.0,2.0,2.0,9.5,0.0,0.0,,0.163
1789080517,15,sana,199.7,57.817,64.853,144.467,0.278,95.944,0.0,1.0,1.0,8.748,0.0,0.0,,0.157
1789080518,16,sana,199.45,57.818,64.853,139.03,0.167,95.778,0.0,1.0,1.0,8.998,0.0,0.0,,0.155
1789080519,17,sana,199.75,57.84,64.896,142.244,0.167,95.611,0.0,1.0,1.0,9.25,0.0,0.0,,0.155
1789080520,18,sana,201.0,57.84,64.895,139.99,0.111,95.778,0.0,0.0,0.0,7.5,0.0,0.0,,0.16
1789080521,19,sana,200.0,57.831,64.879,137.789,0.111,96.056,0.0,0.0,0.0,7.25,0.0,0.0,,0.175
1789080522,20,sana,200.5,57.822,64.861,138.9,0.111,96.111,0.0,0.0,0.0,6.25,0.0,0.0,,0.18
1789080523,21,sana,200.25,57.817,64.852,142.475,0.167,96.333,0.0,0.0,0.0,5.5,0.0,0.0,,0.187
1789080524,22,sana,199.7,57.808,64.836,142.02,0.167,96.333,0.0,1.0,1.0,5.999,0.0,0.0,,0.182
1789080525,23,sana,200.4,57.794,64.808,139.938,0.111,96.722,0.0,0.0,0.0,6.755,0.0,0.0,,0.165
1789080526,24,sana,200.4,57.79,64.801,139.98,0.111,96.667,0.0,0.0,0.0,6.505,0.0,0.0,,0.16
1789080527,25,sana,199.85,57.767,64.758,139.96,0.111,96.944,0.0,1.0,1.0,6.003,0.0,0.0,,0.153
1789080528,26,sana,200.15,57.768,64.758,140.0,0.222,96.833,0.0,2.0,2.0,6.505,0.0,0.0,,0.15
1789080529,27,sana,199.95,57.776,64.775,140.0,0.167,96.667,0.0,1.0,1.0,6.998,0.0,0.0,,0.155
1789080530,28,sana,199.95,57.794,64.809,146.237,0.167,96.278,0.0,0.0,0.0,8.748,0.0,0.0,,0.155
1789080531,29,sana,200.05,57.79,64.801,146.25,0.167,96.222,0.0,1.0,1.0,9.252,0.0,0.0,,0.17
1789080532,30,sana,200.25,57.808,64.835,147.0,0.111,96.056,0.0,0.0,0.0,9.25,0.0,0.0,,0.187
1789080533,31,sana,199.8,57.831,64.878,148.0,0.167,95.944,0.0,0.0,0.0,9.752,0.0,0.0,,0.208
1789080534,32,sana,199.75,57.84,64.896,149.01,0.222,95.667,0.0,3.0,3.0,8.75,0.0,0.0,,0.225
1789080535,33,sana,200.2,57.863,64.939,151.0,0.222,95.444,0.0,0.0,0.0,10.247,0.0,0.0,,0.212
1789080536,34,sana,199.75,57.913,84.444,151.429,0.222,94.944,0.0,0.0,0.0,11.25,0.0,0.0,,0.198
1789080537,35,sana,200.25,57.913,85.571,149.991,0.167,94.889,0.0,2.0,2.0,11.0,0.0,0.0,,0.18
1789080538,36,sana,200.05,57.909,82.625,150.009,0.167,94.889,0.0,1.0,1.0,11.253,0.0,0.0,,0.16
1789080539,37,sana,200.0,57.89,64.991,149.474,0.222,95.167,0.0,0.0,0.0,10.0,0.0,0.0,,0.168
1789080540,38,sana,200.25,57.913,84.333,151.238,0.333,95.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.17
1789080541,39,sana,199.75,57.872,64.957,147.291,0.334,95.222,0.0,3.0,3.0,7.0,0.0,0.0,,0.17
1789080542,40,sana,200.25,57.881,64.973,148.317,0.333,95.167,0.0,1.0,1.0,8.25,0.0,0.0,,0.173
1789080543,41,sana,200.05,57.881,64.973,150.653,0.278,95.333,0.0,0.0,0.0,8.752,0.0,0.0,,0.168
1789080544,42,sana,200.0,57.853,64.921,148.0,0.278,95.556,0.0,0.0,0.0,7.5,0.0,0.0,,0.165
1789080545,43,sana,200.25,57.817,64.852,147.129,0.278,96.0,0.0,0.0,0.0,8.5,0.0,0.0,,0.17
1789080546,44,sana,199.75,57.804,64.827,148.247,0.222,96.167,0.0,0.0,0.0,7.25,0.0,0.0,,0.17
1789080547,45,sana,199.95,57.79,64.801,148.738,0.222,96.389,0.0,0.0,0.0,5.999,0.0,0.0,,0.175
1789080548,46,sana,200.0,57.781,64.784,146.25,0.167,96.389,0.0,0.0,0.0,6.25,0.0,0.0,,0.175
1789080549,47,sana,199.7,57.763,64.75,142.512,0.056,96.556,0.0,0.0,0.0,6.498,0.0,0.0,,0.165
1789080550,48,sana,200.2,57.808,64.835,145.544,0.111,96.167,0.0,1.0,1.0,6.998,0.0,0.0,,0.165
1789080551,49,sana,200.0,57.772,64.767,142.5,0.056,96.556,0.0,0.0,0.0,7.5,0.0,0.0,,0.168
1789080552,50,sana,199.45,57.768,64.759,140.031,0.056,96.444,0.0,2.0,2.0,7.998,0.0,0.0,,0.175
1789080553,51,sana,200.3,57.772,64.767,141.818,0.111,96.556,0.0,0.0,0.0,7.502,0.0,0.0,,0.185
1789080554,52,sana,199.75,57.786,64.793,146.683,0.167,96.333,0.0,0.0,0.0,7.25,0.0,0.0,,0.19
1789080555,53,sana,200.1,57.781,64.784,145.98,0.167,96.5,0.0,0.0,0.0,7.254,0.0,0.0,,0.178
1789080556,54,sana,200.6,57.799,64.818,140.0,0.167,96.111,0.0,2.0,2.0,7.504,0.0,0.0,,0.17
1789080557,55,sana,200.05,57.817,64.852,146.0,0.222,96.0,0.0,0.0,0.0,8.752,0.0,0.0,,0.163
1789080558,56,sana,200.1,57.812,64.844,147.273,0.222,96.056,0.0,0.0,0.0,7.754,0.0,0.0,,0.155
1789080559,57,sana,200.0,57.799,64.818,149.091,0.222,96.222,0.0,0.0,0.0,8.5,0.0,0.0,,0.17
1789080560,58,sana,199.75,57.795,64.81,149.109,0.222,96.222,0.0,1.0,1.0,7.25,0.0,0.0,,0.178
1789080561,59,sana,200.0,57.785,64.792,147.236,0.222,96.5,0.0,0.0,0.0,6.25,0.0,0.0,,0.195
1789080562,60,sana,200.0,57.777,64.776,146.169,0.167,96.389,0.0,0.0,0.0,6.0,0.0,0.0,,0.203
1789080563,61,sana,199.75,57.772,64.767,140.0,0.111,96.444,0.0,1.0,1.0,5.75,0.0,0.0,,0.192
1789080564,62,sana,200.0,57.772,64.767,138.835,0.111,96.444,0.0,1.0,1.0,6.25,0.0,0.0,,0.183
1789080565,63,sana,199.5,57.781,64.784,144.646,0.222,96.389,0.0,1.0,1.0,7.75,0.0,0.0,,0.167
1789080566,64,sana,200.3,57.785,64.792,147.143,0.278,96.333,0.0,1.0,1.0,8.752,0.0,0.0,,0.16
1789080567,65,sana,200.25,57.803,64.826,150.653,0.333,96.222,0.0,0.0,0.0,9.0,0.0,0.0,,0.157
1789080568,66,sana,200.25,57.799,64.818,147.143,0.278,96.278,0.0,0.0,0.0,9.5,0.0,0.0,,0.157
1789080569,67,sana,200.0,57.79,64.801,147.708,0.278,96.278,0.0,0.0,0.0,7.75,0.0,0.0,,0.155
1789080570,68,sana,199.45,57.822,64.862,149.435,0.278,95.722,0.0,2.0,2.0,8.748,0.0,0.0,,0.157
1789080571,69,sana,199.75,57.858,64.93,150.0,0.278,95.5,0.0,0.0,0.0,9.25,0.0,0.0,,0.165
1789080572,70,sana,199.75,57.867,64.948,151.111,0.278,95.444,0.0,1.0,1.0,9.5,0.0,0.0,,0.168
1789080573,71,sana,200.25,57.876,64.965,152.632,0.278,95.278,0.0,0.0,0.0,10.75,0.0,0.0,,0.167
1789080574,72,sana,200.25,57.872,64.956,154.726,0.278,95.333,0.0,1.0,1.0,10.0,0.0,0.0,,0.17
1789080575,73,sana,200.05,57.849,64.913,150.6,0.167,95.556,0.0,1.0,1.0,8.502,0.0,0.0,,0.16
1789080576,74,sana,200.3,57.826,64.87,146.667,0.111,95.889,0.0,0.0,0.0,7.002,0.0,0.0,,0.155
1789080577,75,sana,200.25,57.817,64.852,148.235,0.111,95.889,0.0,1.0,1.0,6.25,0.0,0.0,,0.157
1789080578,76,sana,200.25,57.848,64.912,148.867,0.166,95.722,0.0,0.0,0.0,6.0,0.0,0.0,,0.162
1789080579,77,sana,200.2,57.817,64.852,147.662,0.222,96.222,0.0,0.0,0.0,6.248,0.0,0.0,,0.162
1789080580,78,sana,199.7,57.785,64.792,143.333,0.222,96.333,0.0,1.0,1.0,6.998,0.0,0.0,,0.167
1789080581,79,sana,200.05,57.785,64.792,141.8,0.222,96.5,0.0,0.0,0.0,7.252,0.0,0.0,,0.17
1789080582,80,sana,200.0,57.767,64.758,137.32,0.222,96.667,0.0,1.0,1.0,6.25,0.0,0.0,,0.16
1789080583,81,sana,199.75,57.763,64.75,135.294,0.111,96.778,0.0,0.0,0.0,7.25,0.0,0.0,,0.165
1789080584,82,sana,200.0,57.759,64.741,134.667,0.111,96.833,0.0,1.0,1.0,6.5,0.0,0.0,,0.175
1789080585,83,sana,200.05,57.772,64.767,138.889,0.167,96.667,0.0,0.0,0.0,6.002,0.0,0.0,,0.168
1789080586,84,sana,200.15,57.799,64.818,138.947,0.222,96.444,0.0,0.0,0.0,7.756,0.0,0.0,,0.17
1789080587,85,sana,200.15,57.804,64.827,140.02,0.222,96.222,0.0,0.0,0.0,8.256,0.0,0.0,,0.175
1789080588,86,sana,200.35,57.808,64.835,138.182,0.167,96.222,0.0,0.0,0.0,9.005,0.0,0.0,,0.17
1789080589,87,sana,200.0,57.812,64.843,139.99,0.222,96.278,0.0,0.0,0.0,9.0,0.0,0.0,,0.17
1789080590,88,sana,199.75,57.786,64.793,142.02,0.222,96.333,0.0,1.0,1.0,7.25,0.0,0.0,,0.167
